Date,Song,Artist
1963-08-14,Days Of Wine And Roses,Andy Williams
1963-08-14,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-14,West Side Story,Soundtrack
1963-08-14,(Moving),Peter| Paul & Mary
1963-08-14,Trini Lopez At PJ's,Trini Lopez
1963-08-14,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-14,Live At The Apollo,James Brown
1963-08-14,Shut Down,Various Artists
1963-08-14,Cleopatra,Soundtrack
1963-08-14,Bye Bye Birdie,Soundtrack
1963-08-14,Lawrence Of Arabia,Soundtrack
1963-08-14,Call On Me/That's The Way Love Is,Bobby Bland
1963-08-14,How The West Was Won,Soundtrack
1963-08-14,I Love You Because,Al Martino
1963-08-14,Surfin' U.S.A.,The Beach Boys
1963-08-14,The Concert Sinatra,Frank Sinatra (Riddle)
1963-08-14,The Barbra Streisand Album,Barbra Streisand
1963-08-14,Broadway-My Way,Nancy Wilson
1963-08-14,Joan Baez In Concert,Joan Baez
1963-08-14,Moon River & Other Great Movie Themes,Andy Williams
1963-08-21,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-21,Trini Lopez At PJ's,Trini Lopez
1963-08-21,Days Of Wine And Roses,Andy Williams
1963-08-21,(Moving),Peter| Paul & Mary
1963-08-21,My Son; The Nut,Allan Sherman
1963-08-21,West Side Story,Soundtrack
1963-08-21,Shut Down,Various Artists
1963-08-21,Live At The Apollo,James Brown
1963-08-21,Bye Bye Birdie,Soundtrack
1963-08-21,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-21,Call On Me/That's The Way Love Is,Bobby Bland
1963-08-21,I Love You Because,Al Martino
1963-08-21,Cleopatra,Soundtrack
1963-08-21,Surfin' U.S.A.,The Beach Boys
1963-08-21,The Barbra Streisand Album,Barbra Streisand
1963-08-21,The Concert Sinatra,Frank Sinatra (Riddle)
1963-08-21,Lawrence Of Arabia,Soundtrack
1963-08-21,How The West Was Won,Soundtrack
1963-08-21,Moon River & Other Great Movie Themes,Andy Williams
1963-08-21,Hobo Flats,Jimmy Smith
1963-08-28,My Son; The Nut,Allan Sherman
1963-08-28,Trini Lopez At PJ's,Trini Lopez
1963-08-28,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-28,(Moving),Peter| Paul & Mary
1963-08-28,Days Of Wine And Roses,Andy Williams
1963-08-28,West Side Story,Soundtrack
1963-08-28,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-28,Bye Bye Birdie,Soundtrack
1963-08-28,Shut Down,Various Artists
1963-08-28,Cleopatra,Soundtrack
1963-08-28,Surfin' U.S.A.,The Beach Boys
1963-08-28,Live At The Apollo,James Brown
1963-08-28,I Love You Because,Al Martino
1963-08-28,The Barbra Streisand Album,Barbra Streisand
1963-08-28,Moon River & Other Great Movie Themes,Andy Williams
1963-08-28,Joan Baez In Concert,Joan Baez
1963-08-28,Lawrence Of Arabia,Soundtrack
1963-08-28,Hobo Flats,Jimmy Smith
1963-08-28,Uniquely Mancini,Henry Mancini
1963-08-28,So Much In Love,The Tymes
1963-09-04,My Son; The Nut,Allan Sherman
1963-09-04,Trini Lopez At PJ's,Trini Lopez
1963-09-04,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-04,(Moving),Peter| Paul & Mary
1963-09-04,Bye Bye Birdie,Soundtrack
1963-09-04,West Side Story,Soundtrack
1963-09-04,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-04,Days Of Wine And Roses,Andy Williams
1963-09-04,Shut Down,Various Artists
1963-09-04,Lawrence Of Arabia,Soundtrack
1963-09-04,Live At The Apollo,James Brown
1963-09-04,Surfin' U.S.A.,The Beach Boys
1963-09-04,Cleopatra,Soundtrack
1963-09-04,Joan Baez In Concert,Joan Baez
1963-09-04,So Much In Love,The Tymes
1963-09-04,Sunny Side!,The Kingston Trio
1963-09-04,Oldies But Goodies; Vol. 5,Various Artists
1963-09-04,I Love You Because,Al Martino
1963-09-04,Moon River & Other Great Movie Themes,Andy Williams
1963-09-04,Hollywood-My Way,Nancy Wilson
1963-09-11,My Son; The Nut,Allan Sherman
1963-09-11,Trini Lopez At PJ's,Trini Lopez
1963-09-11,Bye Bye Birdie,Soundtrack
1963-09-11,(Moving),Peter| Paul & Mary
1963-09-11,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-11,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-11,West Side Story,Soundtrack
1963-09-11,Days Of Wine And Roses,Andy Williams
1963-09-11,Sunny Side!,The Kingston Trio
1963-09-11,Live At The Apollo,James Brown
1963-09-11,Hollywood-My Way,Nancy Wilson
1963-09-11,Surfin' U.S.A.,The Beach Boys
1963-09-11,Shut Down,Various Artists
1963-09-11,Lawrence Of Arabia,Soundtrack
1963-09-11,So Much In Love,The Tymes
1963-09-11,Joan Baez In Concert,Joan Baez
1963-09-11,The Barbra Streisand Album,Barbra Streisand
1963-09-11,Cleopatra,Soundtrack
1963-09-11,Wipe Out,The Surfaris
1963-09-11,Joan Baez,Joan Baez
1963-09-18,My Son; The Nut,Allan Sherman
1963-09-18,Trini Lopez At PJ's,Trini Lopez
1963-09-18,Bye Bye Birdie,Soundtrack
1963-09-18,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-18,(Moving),Peter| Paul & Mary
1963-09-18,West Side Story,Soundtrack
1963-09-18,Sunny Side!,The Kingston Trio
1963-09-18,Live At The Apollo,James Brown
